id,ingredients
63,Фиолетовый картофель
63,Молотый перец чили
63,Укроп
63,Лук-резанец
67,Сливочное масло
67,Печенье
67,Яйцо куриное
67,Молоко
67,Сахар
67,Грецкие орехи
67,Ваниль
67,Какао
67,Коньяк
67,Белый хлеб
67,Творог
67,Сметана
67,Пшеничная мука
67,Миндаль
67,Яичный желток
67,Ванилин
67,Разрыхлитель
67,Какао-порошок
69,Яйцо куриное
69,Ветчина
69,Сливочное масло
69,Соль
69,Сыр чеддер
69,Перец черный молотый
69,Молоко
69,Шпинат
69,Помидоры
69,Хлеб для тостов
69,Гречневая мука
69,Сыр грюйер
71,Телятина
71,Рис
71,Белокочанная капуста
71,Лук репчатый
71,Сладкий перец
71,Шампиньоны
71,Чеснок
71,Молотый красный перец
71,Маргарин
71,Соль
71,Перец черный молотый
71,Мясной бульон
71,Вырезка
71,Картофель
71,Морковь
71,Говядина
71,Баранья нога
71,Чечевица
71,Консервированные помидоры
71,Рубленая петрушка
71,Свежие листья шпината
71,Соевый соус
71,Растительное масло
71,Пряности
71,Молодые кабачки
71,Помидоры
71,Копченая куриная грудка
71,Тертый сыр пармезан
76,Ветчина
76,Помидоры
76,Сладкий перец
76,Макароны
76,Консервированная кукуруза
76,Сыр
76,Майонез
76,Огурцы
76,Морковь
76,Яйцо куриное
76,Зелень
76,Белокочанная капуста
76,Зеленый салат
76,Белые сухари
76,Зеленый лук с луковицей
76,Ржаной хлеб
76,Фасоль в томатном соусе
76,Соленые огурцы
76,Укроп
76,Паста
76,Соль
76,Чеснок
76,Листья базилика
76,Оливковое масло
81,Помидоры
81,Редька
81,Огурцы
81,Лук репчатый
81,Петрушка
81,Укроп
81,Уксус
81,Растительное масло
81,Соль
81,Перец черный молотый
81,Сладкий перец
81,Сыр брынза
81,Сметана
81,Белокочанная капуста
81,Сахар
89,Сыр
89,Слоеное тесто
89,Малина
89,Яйцо куриное
89,Салями
89,Помидоры
89,Маслины
89,Яичный желток
89,Мясо
89,Кунжут
89,Шоколадная паста
89,Сосиски
89,Вареная колбаса
90,Корень сельдерея
90,Плавленый сырок
90,Картофель
90,Морковь
90,Сливочное масло
90,Соль
90,Белокочанная капуста
90,Сметана
90,Рис
90,Молоко
90,Яичный желток
90,Корень петрушки
90,Лук репчатый
90,Свежие зерна кукурузы
90,Зелень
90,Вермишель
90,Лук
90,Куриный бульон
90,Зеленый лук
90,Шампиньоны
90,Измельченный укроп
97,Курица
97,Букет гарни
97,Сливочное масло
97,Чеснок
97,Белое сухое вино
97,Оливковое масло
97,Соль
97,Перец черный молотый
97,Филе рыбы
97,Помидоры
97,Петрушка
97,Маслины
97,Красный сладкий перец
97,Куриная грудка
97,Пшеничная мука
97,Куриный бульон
97,Рубленая петрушка
97,Очищенные королевские креветки
97,Сок лайма
97,Зеленый лук
97,Кайенский перец
97,Морская соль
97,Лисички
97,Эскалоп из телятины
97,Кальмары
97,Лимон
100,Яйцо куриное
100,Майонез
100,Сметана
100,Пшеничная мука
100,Мясной фарш
100,Лук репчатый
100,Чеснок
100,Морковь
100,Перец черный молотый
100,Кефир
100,Маргарин
100,Соль
100,Разрыхлитель
100,Картофель
100,Растительное масло
100,Горбуша
100,Рыбные консервы
100,Сода
100,Молодые кабачки
100,Сливочное масло
100,Светлое пиво
100,Куриная грудка
100,Специи
100,Куриная печень
100,Молоко
100,Петрушка
101,Сливочное масло
101,Яйцо куриное
101,Сгущенное молоко
101,Уксус
101,Пшеничная мука
101,Сода
101,Сметана
101,Какао
101,Сахар
101,Молоко
101,Какао-порошок
101,Вишня
101,Мед
104,Белый хлеб
104,Пшеничная мука
104,Сливочное масло
104,Яйцо куриное
104,Лимон
104,Яблоко
104,Миндаль
104,Изюм
104,Корица
104,Сахар
104,Соль
104,Сметана
104,Сахарная пудра
104,Молоко
104,Молотая корица
104,Сода
104,Ванильный сахар
104,Разрыхлитель
104,Темный изюм
104,Растительное масло
104,Топленое масло
104,Свежая мята
104,Коньяк
104,Панировочные сухари
104,Вода
104,Мускатный орех
115,Яйцо куриное
115,Шампиньоны
115,Лук репчатый
115,Молоко
115,Сливочное масло
115,Сыр
115,Петрушка
115,Соль
115,Перец черный молотый
115,Телятина
115,Картофель
115,Слоеное тесто
115,Помидоры
115,Зелень
115,Специи
116,Помидоры
116,Яйцо куриное
116,Сыр
116,Зелень
116,Перец черный молотый
116,Соль
116,Молоко
116,Белый хлеб
116,Сливочное масло
116,Шампиньоны
116,Слоеное тесто
116,Лук репчатый
116,Специи
116,Батон
116,Докторская колбаса
116,Тонкий лаваш
116,Колбаса
118,Яйцо куриное
118,Булочка
118,Вареная колбаса
118,Укроп
118,Соль
118,Перец черный молотый
118,Петрушка
118,Сливочное масло
118,Молотый белый перец
118,Макароны
118,Морковь
118,Бекон
118,Сметана
118,Пшеничная мука
118,Сервелат
118,Помидоры
118,Сладкий перец
118,Сыр
122,Мясной фарш
122,Картофель
122,Яйцо куриное
122,Лук репчатый
122,Морковь
122,Зелень
122,Лавровый лист
122,Соль
122,Растительное масло
122,Перец черный молотый
122,Фасоль
122,Молотый кориандр
122,Овощной бульон
122,Листья кинзы (кориандра)
122,Сыр
122,Вода
122,Петрушка
122,Рис
122,Брюссельская капуста
122,Куриное филе
122,Морская капуста
122,Сметана
125,Картофель
125,Свежие грибы
125,Лук репчатый
125,Сметана
125,Лавровый лист
125,Растительное масло
125,Петрушка
125,Зеленый лук
125,Укроп
125,Соль
125,Перец черный молотый
125,Фасоль
125,Томатное пюре
125,Филе судака
125,Зелень
125,Сливки 20%-ные
125,Рыжики
127,Лук репчатый
127,Белокочанная капуста
127,Уксус
127,Томатное пюре
127,Сахар
127,Пшеничная мука
127,Растительное масло
127,Говяжье сердце
127,Лавровый лист
127,Говяжье легкое
127,Сметана
127,Мясо
127,Перловая крупа
127,Вода
127,Рубленая петрушка
127,Корень сельдерея
141,Листья винограда
141,Сыр сулугуни
141,Сливочное масло
141,Мед
141,Растительное масло
141,Чеснок
141,Паприка
141,Куриные крылья
141,Соевый соус
141,Херес
141,Топленое масло
141,Сыр проволоне
141,Гречишный мед
141,Лайм
141,Молотый перец чили
141,Зеленый лук
141,Куриная грудка
141,Куриные сердца
141,Куриная печень
141,Перец черный молотый
141,Груши
141,Белая репа
141,Крупная соль
141,Свежий измельченный розмарин
141,Творог
141,Баклажаны
141,Российский сыр
141,Очищенные грецкие орехи
141,Зелень
142,Тростниковый сахар
142,Лимон
142,Имбирь
142,Вода
142,Сахар
142,Базилик
142,Сухие дрожжи
142,Перечная мята
142,Свежая мята
142,Огурцы
142,Газированная вода
142,Палочки корицы
142,Мед
148,Перловая крупа
148,Сыр фета
